time,msl_tpa_corr_filt,msl_uncertainty,quad_trd_values
1993-01-31,0.0,8.724195547320669,5.700226425862638
1993-02-28,2.9487998108517957,8.64740871199485,5.8212150112958625
1993-03-31,4.81699807619744,8.571741700833247,5.955995820346288
1993-04-30,6.571380247714922,8.496057127658904,6.0872584755998105
1993-05-31,6.896863750494778,8.418533388994206,6.223753820726415
1993-06-30,7.708404106564959,8.34010083518365,6.356675704446388
1993-07-31,7.38045254017422,8.262312652671113,6.494885585649172
1993-08-31,6.8464165213454145,8.173330227861417,6.63396678850404
1993-09-30,6.286645811095719,8.088284268946875,6.769391115172766
1993-10-31,5.699368190318971,8.020636585451486,6.910186854103813
1993-11-30,6.72484250361332,7.954169785777667,7.04727040923899
1993-12-31,7.32748134592018,7.883231500426405,7.189780684246216
1994-01-31,8.13188834662388,7.806437821595755,7.333162280905526
1994-02-28,8.404988366654205,7.73039979399342,7.463417158665834
1994-03-31,9.32332320869704,7.660972234720227,7.608457077090861
1994-04-30,9.637421114565035,7.593992413756325,7.749647902732249
1994-05-31,9.258219544609142,7.52649941702236,7.896402357262559
1994-06-30,8.025909700158843,7.458767578084495,8.039252411341295
1994-07-31,7.891233188879923,7.390750216560781,8.187721401947783
1994-08-31,7.5659851924597605,7.324476336217241,8.337061714206357
1994-09-30,8.274878424668529,7.260661294902424,8.482414211233845
1994-10-31,8.73508105496236,7.187203708577671,8.633469059539493
1994-11-30,9.420091458765205,7.110449976136431,8.780480785062537
1994-12-31,10.082525959283243,7.043684766491252,8.933250169502571
1995-01-31,11.06881432475821,6.982410440337011,9.086890875507379
1995-02-28,12.691829121007869,6.921749309093117,9.226412045623874
1995-03-31,13.097314534130785,6.85771760231756,9.381711073452607
1995-04-30,13.199427919074813,6.7936844609300415,9.532830069452757
1995-05-31,12.759748292570524,6.734471641178717,9.689843633357668
1995-06-30,12.141510828969215,6.679819259446693,9.842621857853374
1995-07-31,11.071928421555606,6.6233198893739145,10.001349957863567
1995-08-31,10.765201923379388,6.565769147407394,10.160949379438534
1995-09-30,11.108054569247356,6.512562164832115,10.316230046882993
1995-10-31,11.730372740378474,6.462718116419371,10.477544004592346
1995-11-30,11.662562450151185,6.41340438990871,10.634483900474152
1995-12-31,10.883413014756128,6.351758846616032,10.797512394288788
1996-01-31,11.306778740621729,6.295890531153862,10.9614122096973
1996-02-29,11.066132886247093,6.23305767450927,11.115526657027658
1996-03-31,11.908140728573638,6.182228259528348,11.28111290137167
1996-04-30,12.219528818410964,6.135675395539023,11.442187268199632
1996-05-31,12.596534025495991,6.09012014078611,11.609488048678031
1996-06-30,12.754207685829673,6.044287963618874,11.772221644001547
1996-07-31,11.787702491540403,6.001080431666457,11.941236960527021
1996-08-31,11.012756422308126,5.960824074535006,12.111123598675476
1996-09-30,11.23440939267703,5.921528749335727,12.276359636947745
1996-10-31,12.394021567463577,5.881655315095112,12.447960811201483
1996-11-30,12.171297687819957,5.841731511608388,12.614856077940203
1996-12-31,10.745804064874974,5.801140411287264,12.78817178827012
1997-01-31,8.998904835381415,5.754288615664729,12.962358820223017
1997-02-28,9.459414396554882,5.716722699368853,13.120437962148571
1997-03-31,10.046957310429743,5.689499749606586,13.29628331589629
1997-04-30,11.462519530371306,5.653524263391241,13.46728585314122
1997-05-31,12.451580091977611,5.617063091813551,13.644845742965117
1997-06-30,13.772729517489806,5.586242558037332,13.817507508647395
1997-07-31,14.499480140994466,5.557240900893676,13.996781934605679
1997-08-31,16.030753021873636,5.529679251874771,14.176927682157839
1997-09-30,16.97589717647406,5.503416988005539,14.352091890759766
1997-10-31,16.823230863245662,5.479333801442168,14.533952174417209
1997-11-30,14.918600707098058,5.454976312516363,14.710775611543795
